date,open,high,low,close,volume,amount
2009-12-15,3594.51,3620.322,3578.283,3583.341,6918649300,98783625773.0
2009-12-16,3568.28,3610.685,3550.667,3560.723,5696391200,81340897367.0
2009-12-17,3571.052,3582.439,3475.844,3480.153,6328620100,86756667103.0
2009-12-18,3450.045,3453.348,3385.675,3391.735,6611101500,89137672408.0
2009-12-21,3386.326,3404.642,3354.652,3396.622,4832980500,69055779059.0
2009-12-22,3402.228,3404.754,3296.765,3305.543,5394268500,75498512042.0
2009-12-23,3303.729,3342.988,3296.292,3336.48,4806450400,67948267136.0
2009-12-24,3346.763,3445.704,3339.298,3438.817,6437782300,94811625085.0
2009-12-25,3434.326,3441.956,3410.667,3424.783,4691457600,68701833803.0
2009-12-28,3432.82,3489.574,3432.82,3478.433,5537539000,78965998321.0
2009-12-29,3481.903,3501.247,3451.177,3500.737,5553576500,78053673797.0
2009-12-30,3503.816,3561.436,3498.377,3558.857,8842937000,124684572895.0
2009-12-31,3561.367,3579.518,3542.38,3575.684,6924189000,98004030329.0
2010-01-04,3592.468,3597.748,3535.229,3535.229,6610108000,93419838921.0
2010-01-05,3545.186,3577.526,3497.661,3564.038,8580964100,128302442618.0
2010-01-06,3558.7,3588.832,3541.173,3541.727,7847312500,121045989916.0
2010-01-07,3543.16,3558.556,3452.769,3471.456,8035003700,120436166283.0
2010-01-08,3456.908,3482.083,3426.698,3480.13,6079025300,90190959969.0
2010-01-11,3593.106,3594.528,3465.317,3482.052,8998017200,134114001104.0
2010-01-12,3477.842,3535.407,3437.661,3534.916,9374327800,134071416354.0
2010-01-13,3448.291,3490.112,3415.693,3421.144,11245790100,159860384574.0
2010-01-14,3433.472,3470.323,3411.812,3469.051,8335325200,118107870086.0
2010-01-15,3472.524,3500.072,3448.661,3482.738,7254310200,104035175785.0
2010-01-18,3471.777,3501.26,3458.042,3500.684,8285430700,117884258544.0
2010-01-19,3506.806,3528.39,3497.094,3507.482,7488323200,108023525533.0
2010-01-20,3512.246,3515.449,3387.818,3394.434,9249514600,128416164613.0
2010-01-21,3397.043,3425.18,3364.723,3408.574,7059506800,100076607006.0
2010-01-22,3364.452,3390.796,3293.194,3366.197,8893340400,119197815814.0
2010-01-25,3340.013,3372.426,3326.266,3328.014,5684917100,76626626843.0
2010-01-26,3328.113,3341.198,3222.14,3242.797,6175223100,81586059213.0
2010-01-27,3243.038,3255.116,3183.365,3198.566,5269139400,70540273182.0
2010-01-28,3195.289,3220.306,3168.463,3206.57,4699071600,64082115658.0
2010-01-29,3190.315,3249.455,3176.916,3204.155,5026261300,68018118702.0
2010-02-01,3198.23,3198.311,3116.439,3152.707,5700138000,75982150475.0
2010-02-02,3170.778,3211.941,3143.085,3146.189,5013003300,68318412373.0
2010-02-03,3160.712,3231.102,3094.568,3230.715,6479889400,87536249983.0
2010-02-04,3206.431,3242.519,3190.437,3218.802,5897272600,75466552963.0
2010-02-05,3147.721,3177.42,3129.921,3153.087,5910584500,73693132366.0
2010-02-08,3152.253,3172.306,3133.808,3150.988,3735595100,47902429250.0
2010-02-09,3147.761,3178.947,3144.478,3169.19,3595315800,45222660374.0
2010-02-10,3195.142,3214.456,3182.834,3214.13,3421989400,48152144637.0
2010-02-11,3216.688,3238.349,3207.165,3220.398,3579105200,46999712971.0
2010-02-12,3232.879,3253.196,3228.738,3251.278,3405823800,46703220577.0
2010-02-22,3248.947,3261.949,3232.784,3233.345,3828377200,49981333658.0
2010-02-23,3225.393,3225.393,3152.934,3198.634,4274289800,62386076936.0
2010-02-24,3177.082,3244.816,3165.133,3244.483,4998943700,64414097361.0
2010-02-25,3252.153,3294.144,3249.329,3292.128,6758661700,89485801632.0
2010-02-26,3286.095,3301.149,3273.693,3281.666,5210728800,70171666128.0
2010-03-01,3290.007,3330.378,3287.556,3324.423,6050452000,81205689009.0
2010-03-02,3327.103,3339.894,3299.685,3311.236,5703437400,76233992315.0
2010-03-03,3313.023,3335.654,3293.916,3335.081,6062273200,78442132954.0
2010-03-04,3338.674,3345.909,3244.978,3250.573,6934681000,89462913752.0
2010-03-05,3253.164,3276.403,3239.677,3259.764,4562913800,59621178434.0
2010-03-08,3268.397,3293.93,3258.034,3286.178,4154087600,54686555117.0
2010-03-09,3285.62,3322.506,3255.982,3305.863,5419948600,71971297725.0
2010-03-10,3304.036,3321.081,3267.761,3279.694,4642107900,61760429281.0
2010-03-11,3282.199,3303.488,3251.704,3276.705,4748775400,63732658851.0
2010-03-12,3277.309,3284.263,3232.117,3233.126,3995734400,52611210820.0
2010-03-15,3231.216,3234.821,3171.803,3183.183,3784430400,49219898122.0
2010-03-16,3183.775,3204.289,3169.098,3203.971,3084778000,41510426396.0
2010-03-17,3214.216,3273.998,3207.271,3273.916,4580093400,62587395428.0
2010-03-18,3277.883,3295.368,3256.593,3267.555,4694801300,62509130228.0
2010-03-19,3270.978,3296.411,3251.136,3293.871,4606218700,62114230718.0
2010-03-22,3297.824,3313.922,3288.506,3302.628,4943946200,65652976792.0
2010-03-23,3305.554,3309.12,3272.921,3275.573,4653953600,62145531443.0
2010-03-24,3282.052,3298.543,3271.033,3276.669,4454796600,58330301241.0
2010-03-25,3270.39,3270.39,3222.821,3229.128,4498428500,58604759567.0
2010-03-26,3226.8,3285.388,3220.594,3275.002,4744496500,61592843185.0
2010-03-29,3295.763,3363.605,3293.671,3358.54,8472491000,110326973484.0
2010-03-30,3361.353,3372.265,3350.313,3366.708,5643698000,78682669413.0
2010-03-31,3369.193,3369.901,3338.745,3345.607,5312428700,72120886278.0
2010-04-01,3349.884,3392.481,3349.884,3391.935,6777266900,92360495841.0
2010-04-02,3400.139,3412.2,3391.806,3407.346,6907345200,99040760060.0
2010-04-06,3422.849,3436.29,3386.888,3405.145,6519171000,93985883918.0
2010-04-07,3403.088,3404.582,3369.017,3386.949,5401122800,76733159936.0
2010-04-08,3381.306,3381.306,3336.156,3346.744,6218532200,89317468603.0
2010-04-09,3348.773,3379.398,3342.471,3379.17,5128056700,75590356319.0
2010-04-12,3388.355,3393.557,3330.3,3351.478,7456515000,105996609644.0
2010-04-13,3350.726,3401.707,3324.048,3391.716,7990769500,116440339286.0
2010-04-14,3394.635,3404.516,3377.437,3403.707,6030613100,90787568716.0
2010-04-15,3407.025,3412.937,3365.881,3394.574,6105168500,88700235636.0
2010-04-16,3388.286,3388.286,3348.781,3356.332,4714036800,67235596653.0
2010-04-19,3313.499,3313.499,3175.441,3176.423,8841630000,118855971989.0
2010-04-20,3176.414,3196.646,3130.96,3173.374,6413785900,88005965691.0
2010-04-21,3178.877,3237.537,3164.765,3236.679,6692833100,93373377791.0
2010-04-22,3222.68,3231.985,3177.726,3201.541,7108168800,98970386343.0
2010-04-23,3198.784,3224.739,3172.578,3190.003,6125267900,92115669956.0
2010-04-26,3195.457,3207.715,3168.374,3171.997,5089419900,74959121055.0
2010-04-27,3163.101,3163.101,3060.854,3108.409,6529657400,88058360562.0
2010-04-28,3080.324,3122.115,3062.085,3097.353,4599540600,65484924588.0
2010-04-29,3114.941,3130.696,3059.796,3060.064,4826097100,69250868103.0
2010-04-30,3060.12,3068.127,3014.069,3067.365,5447788100,73190884013.0
2010-05-04,3005.487,3056.082,2994.921,3019.449,4124861000,54558607131.0
2010-05-05,2981.777,3036.865,2943.361,3036.394,5967044100,80835340414.0
2010-05-06,3014.907,3014.907,2895.392,2896.856,5877041300,81502262034.0
2010-05-07,2835.879,2892.533,2817.153,2836.789,6111939900,79147499714.0
2010-05-10,2842.366,2872.314,2798.523,2858.233,5020917300,64909188147.0
2010-05-11,2916.335,2922.125,2790.701,2800.817,5836349000,73894666754.0
2010-05-12,2781.708,2832.147,2756.422,2818.16,5300227100,64693988243.0
2010-05-13,2818.578,2886.972,2811.661,2886.911,5514577800,67486536614.0
2010-05-14,2865.58,2888.093,2849.241,2868.023,4249871900,55175291043.0
2010-05-17,2828.882,2828.882,2712.444,2714.715,5216684700,62395513473.0
2010-05-18,2711.407,2781.845,2686.973,2771.348,5450967100,62746245805.0
2010-05-19,2748.952,2803.695,2723.304,2762.174,4557622100,54656401336.0
2010-05-20,2739.219,2793.876,2721.072,2726.022,4217480300,52677914862.0
2010-05-21,2656.419,2769.094,2647.597,2768.791,5447538300,63501808937.0
